"team_id","name","city","abbreviation","stadium","conference","member_since","captains_2025","coach_2025"
100,"Birmingham Legion FC","Birmingham, AL","BHM",30,"E",2019,"Phanuel Kavita","Mark Briggs"
101,"Charleston Battery","Charleston, SC","CHS",31,"E",2011,"Leland Archer","Ben Pirmann"
102,"Colorado Springs Switchbacks FC","Colorado Springs, CO","COS",32,"W",2015,"Matt Mahoney","James Chambers"
103,"Detroit City FC","Detroit, MI","DET",33,"E",2022,"Stephen Carroll","Danny Dichio"
104,"FC Tulsa","Tulsa, OK","TUL",34,"W",2015,"NA","Luke Spencer"
105,"El Paso Locomotive FC","El Paso, TX","ELP",35,"W",2019,"Jordan Scalett","Wilmer Cabrera"
106,"Hartford Athletic","Hartford, CT","HFD",36,"E",2019,"Aodhan Quinn","Brendan Burke"
107,"Indy Eleven","Indianapolis, IN","IND",37,"E",2018,"Charlie Adams","Sean McAuley"
108,"Las Vegas Lights FC","Las Vegas, NV","LVL",38,"W",2018,"Speedy Williams, Marcus Epps","Antonio Nocerino"
109,"Lexington SC","Lexington, KY","LEX",39,"W",2025,"Zach Ryan, Drew Skundrich","Terry Boss"
110,"Loudoun United FC","Leesburg, VA","LDN",40,"E",2019,"Brian Ownby","Ryan Martin"
111,"Louisville City FC","Louisville, KY","LOU",41,"E",2015,"Nicolás Cardona","Danny Cruz"
112,"Miami FC","Miami, FL","MIA",42,"E",2020,"Nico Gordon","Gastón Maddoni"
113,"Monterey Bay FC","Monterey, CA","MB",43,"W",2022,"Talen Maples, Kalen Ryden","Jordan Stewart"
114,"North Carolina FC","Cary, NC","NCA",44,"E",2018,"Paco Craig","John Bradford"
115,"New Mexico United","Albuquerque, NM","NMU",45,"W",2019,"Tyler Gibson","Dennis Sanchez"
116,"Oakland Roots SC","Oakland, CA","OAK",46,"W",2021,"Tom Brewitt","Gavin Glinton"
117,"Orange County SC","Orange County, CA","OCSC",47,"W",2011,"Pape Mar Boye","Danny Stone"
118,"Phoenix Rising RC","Phoenix, AZ","PHX",48,"W",2014,"Danny Griffin","Pa-Modou Kah"
119,"Pittsburgh Riverhounds SC","Pittsburgh, PA","PGH",49,"E",2011,"Koke Vegas","Bob Lilley"
120,"Rhode Island FC","Pawtucket, RI","RI",50,"E",2024,"Rodrigo López","Khano Smith"
121,"Sacramento Republic FC","Sacramento, CA","SAC",51,"W",2014,"Mitchell Taintor","Neill Collins"
122,"San Antonio FC","San Antonio, TX","SAN",52,"W",2016,"Aaron Guillen","Carlos Llamosa"
123,"Tampa Bay Rowdies","Tampa, FL","TBR",53,"E",2017,"Bradley Bourgeois","Robbie Neilson"
